url,item_id,title,http_status,content_type,sichtbefund,crop_beschreibung,passt_zum_text
https://ztcppihxqcphlqaguhma.supabase.co/storage/v1/object/public/task-assets/lsa/ansichteneinestischs/00_image1.png,784b7bb7-d1b6-4242-b71d-f76ccf5eae37,Ansichten eines Tischs,200,image/png,text_eingebrannt,Oberen Aufgabentext-Block (3 Zeilen) abschneiden; Foto (Draufsicht) inkl. der Positions-Labels A-D und 'Abbildung 1' behalten.,ja
https://ztcppihxqcphlqaguhma.supabase.co/storage/v1/object/public/task-assets/lsa/ansichteneinestischs/01_image2.png,784b7bb7-d1b6-4242-b71d-f76ccf5eae37,Ansichten eines Tischs,200,image/png,text_eingebrannt,Drei Einzelfotos vom schwarzen Hintergrund freistellen (je Ansicht ein Bild); Beschriftungen 'Abbildung 2/3/4' sind im Render verloren (schwarz auf schwarz) und muessen neu gesetzt werden.,"eingeschraenkt: Fotos vorhanden, aber Abbildungs-Beschriftungen fehlen (fuer die Loesung 'Abbildung 2: A' noetig)"
https://ztcppihxqcphlqaguhma.supabase.co/storage/v1/object/public/task-assets/lsa/bevoelkerungsdichte/00_image1.emf.png,aea6e751-c113-43cf-ac73-d6b892d85c45,Bevölkerungsdichte,200,image/png,text_eingebrannt,Einleitungstext oben und leeres Antwortfeld unten entfernen; Tabelle (16 Bundeslaender + Bevoelkerungsdichte) behalten.,ja
https://ztcppihxqcphlqaguhma.supabase.co/storage/v1/object/public/task-assets/lsa/bevoelkerungsdichte/01_image2.emf.png,aea6e751-c113-43cf-ac73-d6b892d85c45,Bevölkerungsdichte,200,image/png,unbrauchbar,Kein Bildinhalt: nur Teilaufgabentext + Antwortlinie/-kasten. Text steht bereits in parts.,nein
https://ztcppihxqcphlqaguhma.supabase.co/storage/v1/object/public/task-assets/lsa/bevoelkerungsdichte/02_image3.emf.png,aea6e751-c113-43cf-ac73-d6b892d85c45,Bevölkerungsdichte,200,image/png,unbrauchbar,Kein Bildinhalt: nur Teilaufgabentext + Antwortkasten.,nein
https://ztcppihxqcphlqaguhma.supabase.co/storage/v1/object/public/task-assets/lsa/bruchundprozentsatz/00_image1.emf.png,21fada8f-5917-4403-8104-1a075bccb06d,Bruch und Prozentsatz,200,image/png,text_eingebrannt,"Aufgabentext oben und leeren Antwortkasten unten entfernen; die auszufuellende Tabelle (Prozentsatz 50/../80, Dezimalbruch 0,5/0,3/..) behalten.",ja
https://ztcppihxqcphlqaguhma.supabase.co/storage/v1/object/public/task-assets/lsa/butter/00_image1.emf.png,dadb66dc-cddc-4ab6-a1c5-915eb31180e2,Butter,200,image/png,unbrauchbar,Das Butter-Foto fehlt im Render komplett (grosse Leerflaeche zwischen Text oben und Frage unten). Ohne Foto ist das Item nicht loesbar.,nein
https://ztcppihxqcphlqaguhma.supabase.co/storage/v1/object/public/task-assets/lsa/derriese/00_image1.emf.png,46e6c014-b735-4cb2-8c26-40f40b6ac838,Der Riese,200,image/png,unbrauchbar,"Die Zeichnung des Kopfteils fehlt im Render (Leerflaeche); enthalten sind nur Aufgabentext, Antwortzeile und Karo-Schreibflaeche.",nein
https://ztcppihxqcphlqaguhma.supabase.co/storage/v1/object/public/task-assets/lsa/derstern/00_image1.emf.png,3550a34f-4afc-4f27-8950-72004822e379,Der Stern,200,image/png,text_eingebrannt,"Frage 'Wie gross ist der Flaecheninhalt...', 'Kreuze an.' und die vier MC-Optionen (7/12/16/20 cm²) unten abschneiden; Gitter (8x8, 1cm-Legende) mit Stern behalten. Hinweis: Die eingebrannten Optionen sind zugleich die fehlenden MC-Optionen des Items.",ja
https://ztcppihxqcphlqaguhma.supabase.co/storage/v1/object/public/task-assets/lsa/divisionvonzahlen/00_image1.emf.png,59e528d3-53f2-4184-8131-7f8810d0ab2f,Division von Zahlen,200,image/png,unbrauchbar,Kein Bildinhalt: nur Einleitungssatz + leerer Kasten.,nein
